Contact Id,Gift Date
2383,7/9/2018
424,10/30/2012
570,8/30/2018
937,12/31/2014
904,8/20/2012
419,1/11/2011
821,1/1/2011
408,11/21/2013
885,12/2/2011
426,5/30/2012
474,2/19/2014
3010,4/10/2017
1894,12/22/2019
2703,6/19/2012
1640,12/31/2014
601,1/4/2016
937,10/21/2013
555,6/24/2019
538,1/4/2018
3047,9/6/2021
831,9/17/2018
935,5/24/2018
2805,8/4/2014
409,12/4/2012
518,12/17/2015
2929,11/7/2016
935,12/28/2015
2982,12/21/2015
493,10/28/2013
304,7/31/2019
440,11/14/2012
600,3/30/2012
901,8/20/2012
2810,10/27/2016
2848,3/6/2017
935,4/27/2018
477,12/11/2014
570,5/31/2018
2858,7/8/2013
2114,11/28/2018
450,5/17/2011
921,9/8/2012
419,11/7/2016
417,12/3/2013
3026,5/18/2018
2983,2/24/2015
3015,11/21/2017
2816,1/2/2020
3032,11/22/2021
1337,8/21/2015
2851,3/31/2010
2851,5/25/2016
2845,2/1/2011
518,5/8/2012
314,7/12/2017
429,9/7/2017
584,12/18/2019
422,5/5/2016
31,6/27/2016
422,12/29/2016
367,1/2/2020
2858,7/26/2013
2812,6/24/2019
844,6/2/2013
1106,10/26/2018
1106,12/18/2017
360,1/7/2015
304,2/22/2016
934,12/17/2018
859,5/16/2011
3047,3/8/2021
2849,1/31/2018
445,12/19/2012
540,12/29/2010
2816,5/27/2016
326,7/23/2013
422,12/18/2019
1195,4/20/2022
867,3/21/2012
453,12/29/2010
529,12/3/2018
1329,1/7/2020
2836,8/17/2010
3034,3/25/2019
225,5/30/2017
2869,4/10/2013
2390,1/2/2015
886,12/16/2015
600,11/6/2012
499,7/31/2014
409,12/16/2014
915,9/4/2012
2703,11/7/2013
1790,10/26/2016
857,5/4/2016
707,12/10/2014
12,12/18/2017
2403,2/3/2015
3023,4/25/2018
935,11/26/2018
2870,4/9/2015
2858,7/22/2013
2971,11/30/2015
935,5/24/2018
570,6/22/2018
2777,5/18/2015
2393,12/14/2016
429,11/4/2014
910,4/27/2016
2008,4/19/2019
500,6/26/2019
837,3/9/2010
354,11/17/2019
434,5/16/2016
2870,1/18/2018
318,12/20/2018
375,3/21/2014
429,5/5/2015
936,4/2/2014
2860,3/27/2014
350,6/13/2011
2861,2/1/2013
2407,3/31/2015
937,12/30/2015
2864,1/14/2014
3033,2/4/2019
869,11/14/2012
910,10/27/2016
301,12/19/2019
26,5/5/2017
601,1/3/2017
839,8/22/2011
3009,3/20/2017
2815,5/8/2012
2393,4/27/2016
411,5/9/2011
2390,7/31/2014
403,10/24/2016
304,5/26/2016
30,12/11/2017
3047,6/10/2022
2089,12/31/2019
2863,1/30/2013
484,11/3/2011
419,5/30/2012
520,10/29/2012
2857,7/31/2012
2992,1/25/2016
570,6/24/2019
935,10/4/2016
1334,12/30/2013
569,6/24/2019
2776,4/28/2015
293,5/18/2011
538,12/26/2010
368,6/29/2018
3047,5/16/2022
2778,5/25/2011
2869,4/28/2014
495,2/27/2014
935,12/20/2018
555,4/29/2019
936,12/10/2018
39,8/9/2016
289,6/27/2011
434,12/3/2012
453,12/27/2017
314,12/3/2014
935,9/27/2018
434,5/29/2013
692,12/29/2020
925,11/28/2012
2807,2/16/2011
935,10/28/2016
516,7/19/2018
474,3/8/2013
529,12/27/2017
1381,12/6/2019
1334,7/19/2013
485,12/9/2019
11,8/10/2015
834,12/2/2013
2814,5/8/2012
871,6/5/2012
3047,1/8/2021
935,10/4/2016
945,1/9/2015
564,5/3/2018
420,9/19/2017
1355,12/18/2019
935,7/20/2018
422,6/2/2015
844,12/12/2011
2818,12/7/2010
600,7/17/2017
518,2/26/2014
490,4/3/2017
407,11/28/2016
463,1/2/2020
491,4/29/2016
453,12/12/2011
935,11/29/2016
935,4/3/2018
858,10/29/2013
3006,3/21/2019
412,12/31/2013
864,1/15/2013
3036,4/3/2019
1544,3/8/2021
368,12/18/2017
2855,4/30/2013
2851,4/3/2019
445,1/8/2014
935,2/22/2017
333,12/28/2017
908,8/14/2012
1428,11/17/2019
2380,7/26/2018
2812,4/1/2013
48,12/17/2019
464,3/12/2010
3018,1/22/2018
2855,5/15/2012
43,8/9/2016
3020,2/28/2018
513,12/20/2010
415,11/29/2018
426,12/12/2011
935,10/28/2016
3032,2/9/2018
867,5/30/2013
555,3/28/2019
1606,7/19/2018
3047,2/21/2022
533,5/15/2012
507,9/7/2012
2805,3/18/2010
454,5/30/2012
2846,3/16/2012
2972,5/4/2011
830,12/12/2011
454,12/5/2011
842,12/12/2011
1544,2/22/2021
602,9/10/2013
935,1/19/2017
872,10/24/2016
935,10/26/2017
853,1/4/2012
933,11/28/2012
422,12/6/2018
499,12/31/2014
2870,3/5/2018
540,5/2/2013
556,4/25/2018
484,5/23/2011
360,12/18/2012
2397,12/31/2014
2864,10/16/2018
419,6/29/2018
579,12/14/2018
2810,5/28/2013
301,1/2/2019
2562,11/17/2019
492,8/22/2011
2979,5/12/2014
284,12/22/2019
1776,7/5/2017
2089,11/30/2019
441,1/19/2011
468,12/16/2015
934,12/29/2016
569,9/4/2019
935,3/28/2019
600,3/26/2015
301,12/15/2014
995,11/19/2019
470,9/7/2010
2812,5/13/2013
650,12/27/2017
2858,7/3/2013
304,3/28/2019
416,12/16/2015
1337,9/4/2014
422,12/16/2014
471,4/5/2010
829,2/24/2016
56,3/30/2017
1034,4/25/2018
912,8/31/2012
853,7/19/2013
414,12/18/2017
1366,8/25/2016
220,2/27/2017
911,8/18/2012
567,5/15/2018
600,5/24/2012
425,12/24/2012
854,1/2/2020
3047,6/24/2022
412,1/4/2012
569,12/18/2019
2812,7/15/2014
411,5/27/2013
2836,1/5/2012
2977,4/28/2015
3006,3/3/2017
333,12/18/2019
831,1/20/2011
48,11/13/2017
422,9/18/2013
935,6/22/2018
891,12/3/2018
570,7/31/2019
1544,5/16/2022
1366,4/6/2018
924,10/21/2013
650,5/10/2017
153,12/18/2019
491,11/3/2012
569,8/30/2018
925,12/17/2015
2988,4/7/2015
426,5/31/2018
300,8/16/2017
945,6/6/2013
352,11/21/2016
870,4/29/2011
1329,7/2/2015
403,5/6/2015
555,5/23/2019
2806,5/11/2011
441,11/12/2012
570,10/26/2018
27,5/20/2016
56,2/22/2017
2804,3/22/2019
887,2/20/2014
934,12/5/2019
300,5/27/2013
2848,5/17/2016
1859,1/2/2020
409,12/4/2012
2870,3/28/2019
2245,12/5/2019
318,1/21/2016
1337,9/9/2013
1640,9/17/2014
474,12/8/2015
3035,4/3/2019
1934,3/21/2014
934,12/31/2014
330,1/2/2020
500,12/31/2010
2991,10/1/2015
2832,6/22/2011
300,7/17/2018
890,1/4/2012
1964,1/26/2018
1900,12/19/2018
2848,3/5/2013
2857,7/31/2012
392,4/9/2018
474,2/28/2018
857,5/18/2015
37,8/8/2016
537,8/5/2013
455,7/17/2017
437,1/4/2010
500,1/14/2019
326,1/5/2017
885,8/22/2011
434,12/3/2013
58,10/5/2016
833,11/29/2019
426,12/31/2014
350,3/13/2013
2822,4/16/2013
2812,3/7/2017
29,5/18/2016
153,7/10/2017
2854,3/27/2014
935,5/30/2017
475,5/24/2010
2825,5/26/2011
330,7/20/2013
435,1/5/2012
315,12/11/2014
868,11/1/2012
396,11/14/2016
1064,5/7/2018
12,8/31/2015
859,11/3/2011
3062,4/5/2012
2340,10/26/2016
401,12/18/2019
914,8/31/2012
843,12/3/2013
857,12/18/2019
2284,7/28/2014
3037,6/26/2019
2816,2/21/2018
227,12/20/2019
224,12/13/2018
2848,3/23/2012
2387,12/18/2019
504,8/22/2011
1337,11/24/2015
1334,8/6/2018
862,12/31/2014
529,6/30/2013
935,11/29/2016
47,12/23/2019
937,12/18/2019
428,11/29/2018
857,3/10/2014
1195,5/20/2022
862,4/25/2016
474,6/4/2019
2864,1/14/2013
523,11/7/2013
849,8/11/2013
479,12/21/2018
2804,3/13/2013
1544,11/15/2021
1334,6/7/2018
2858,7/13/2012
923,9/26/2012
519,12/31/2014
3029,12/4/2018
304,3/17/2016
1106,10/19/2016
474,1/14/2019
3018,3/21/2019
2991,10/1/2015
2386,5/26/2015
1900,12/18/2017
910,8/14/2012
514,11/28/2017
304,11/15/2012
2806,3/29/2010
2836,1/22/2015
423,12/31/2014
421,6/2/2015
360,10/16/2013
935,2/15/2018
891,1/4/2018
2813,4/9/2019
2783,4/28/2017
2997,6/27/2016
2858,8/5/2013
864,3/1/2019
35,7/28/2016
500,12/31/2012
3047,10/18/2021
505,8/1/2011
2972,7/9/2012
375,11/1/2012
857,12/31/2014
569,9/27/2018
605,5/22/2012
430,4/29/2016
314,6/4/2019
885,8/22/2011
507,9/8/2017
854,1/27/2016
868,12/31/2014
3,5/13/2015
2857,7/22/2012
3032,5/16/2018
857,10/28/2013
440,12/6/2018
516,1/14/2016
935,4/29/2019
3022,4/2/2018
3047,11/15/2021
423,12/27/2012
582,1/2/2019
529,5/2/2016
365,1/5/2012
2378,11/21/2013
456,11/2/2012
3001,7/28/2016
825,11/15/2011
224,12/27/2017
3047,11/1/2021
869,3/9/2015
879,7/12/2011
1334,11/28/2016
1765,11/12/2013
3032,2/4/2017
538,12/21/2016
500,12/27/2017
354,12/22/2019
910,12/31/2014
318,5/10/2016
525,11/19/2012
337,5/12/2011
555,9/27/2018
930,12/18/2019
2994,3/28/2016
304,6/27/2016
453,12/12/2016
2730,12/11/2019
428,7/9/2018
337,5/17/2012
520,6/1/2011
419,5/5/2015
1544,2/7/2022
491,12/29/2016
479,12/27/2012
411,10/23/2013
831,12/5/2011
3032,8/20/2021
2805,6/15/2012
935,4/3/2018
817,1/2/2019
304,4/4/2016
477,12/12/2011
304,9/27/2018
432,5/30/2012
410,12/18/2012
415,11/3/2011
935,10/4/2017
570,12/20/2018
59,10/4/2016
850,12/2/2011
299,5/31/2013
474,5/27/2016
409,12/14/2017
940,3/22/2013
840,12/5/2019
1787,12/3/2013
2858,7/15/2013
1544,11/1/2021
521,12/29/2011
523,10/14/2016
855,11/9/2012
218,3/9/2015
2043,9/21/2015
477,12/13/2018
474,3/14/2011
2816,3/27/2017
4,5/20/2015
416,12/27/2011
429,12/27/2010
944,8/27/2015
464,11/19/2012
57,11/20/2017
2819,7/19/2013
472,12/29/2017
935,12/21/2017
522,5/30/2012
300,1/9/2018
1787,1/2/2020
352,7/3/2014
306,2/8/2016
1929,1/1/2020
871,5/9/2011
455,1/25/2010
2975,8/31/2018
153,11/28/2018
2806,3/29/2010
935,11/29/2016
2812,7/9/2018
2995,6/22/2018
420,6/3/2015
511,12/1/2019
1513,5/6/2015
555,6/22/2018
2810,6/5/2014
456,2/2/2010
304,12/18/2019
472,5/30/2012
514,9/18/2015
2812,5/31/2018
2857,7/22/2012
821,11/2/2016
2812,3/30/2016
445,1/2/2020
867,12/9/2014
457,2/26/2010
2719,9/20/2012
304,9/4/2019
415,12/18/2019
2775,1/2/2020
2845,3/16/2012
840,2/15/2011
407,6/2/2015
930,11/15/2013
422,9/12/2014
429,6/7/2012
339,6/18/2015
3032,5/27/2015
872,12/31/2014
2818,12/9/2014
856,5/29/2014
2818,12/5/2012
2815,3/20/2017
445,11/15/2011
477,12/18/2019
528,11/21/2016
1334,2/27/2014
305,12/28/2019
408,12/18/2019
3032,8/10/2018
444,1/5/2010
419,4/27/2016
935,11/29/2016
299,5/18/2012
375,12/30/2013
301,12/30/2013
518,1/5/2010
2857,7/22/2012
500,6/24/2019
878,7/12/2011
2804,4/5/2012
2783,8/15/2018
935,9/23/2015
441,1/23/2015
1381,1/6/2020
650,5/4/2016
3028,10/15/2018
920,8/20/2012
1106,10/26/2018
427,12/31/2014
39,12/21/2017
1790,3/23/2015
475,5/8/2012
417,12/19/2014
927,11/26/2012
935,5/26/2016
516,1/6/2015
315,12/30/2013
533,7/11/2012
469,3/24/2010
538,7/19/2017
354,11/28/2019
2812,3/8/2017
2734,3/13/2010
352,12/30/2015
843,3/30/2010
408,12/16/2011
2814,4/7/2015
518,12/2/2011
2985,3/27/2015
873,6/15/2011
2851,2/3/2015
2403,1/25/2016
2815,5/19/2016
305,11/30/2016
1425,5/18/2018
503,6/5/2012
428,1/4/2016
650,1/8/2016
518,5/15/2012
936,12/29/2017
570,5/23/2019
528,12/19/2014
2390,5/31/2016
929,11/15/2012
2814,2/21/2018
935,12/21/2017
2972,3/2/2015
1536,5/6/2015
1544,10/4/2021
1544,1/7/2022
2865,3/1/2019
885,8/29/2011
2396,12/31/2014
935,2/22/2016
421,1/20/2012
507,5/11/2015
532,12/31/2014
850,11/16/2012
2822,1/20/2012
10,8/5/2015
934,12/30/2013
277,12/18/2019
2396,12/21/2017
